iter	Logloss
0	0.4910079393
1	0.3910831714
2	0.3421967186
3	0.3165161257
4	0.301386339
5	0.2919187065
6	0.2860514289
7	0.2818925039
8	0.2788254374
9	0.276679353
10	0.2752179824
11	0.273543462
12	0.2722920705
13	0.2716535188
14	0.2707595203
15	0.2700287711
16	0.2695905854
17	0.2691154741
18	0.2687415634
19	0.2685177999
20	0.2682802448
21	0.2681249761
22	0.2678855421
23	0.2677025543
24	0.2675915377
25	0.2673977212
26	0.2673259596
27	0.2672023441
28	0.267096717
29	0.2670096016
30	0.2668386942
31	0.2666917929
32	0.2665653471
33	0.266505838
34	0.2664292696
35	0.2663234156
36	0.2662293189
37	0.2661070215
38	0.2660429528
39	0.2659784196
40	0.265890805
41	0.2657864086
42	0.265699657
43	0.2656494925
44	0.2655973562
45	0.2655222903
46	0.265457148
47	0.265397801
48	0.2653609178
49	0.2653069204
50	0.2652406676
51	0.2652026198
52	0.2651512612
53	0.265044069
54	0.2649780425
55	0.2649503199
56	0.2649121897
57	0.2648549722
58	0.2648229055
59	0.2647805595
60	0.2647337207
61	0.2647033523
62	0.2646544446
63	0.2646105457
64	0.2645826332
65	0.2645667202
66	0.2645312402
67	0.2644950559
68	0.2644374725
69	0.2644132608
70	0.2643844885
71	0.2643581367
72	0.2643292625
73	0.2643074573
74	0.2642811938
75	0.2642520429
76	0.2642143606
77	0.2641946052
78	0.2641700362
79	0.2641445767
80	0.2641132717
81	0.2640959971
82	0.2640710452
83	0.2640267227
84	0.2639930895
85	0.2639548338
86	0.2639294425
87	0.2639073122
88	0.2638703863
89	0.2638073762
90	0.2637811789
91	0.2637576409
92	0.2637270307
93	0.2637062966
94	0.2636766846
95	0.2636513257
96	0.2636234239
97	0.2636001198
98	0.2635490639
99	0.2635258273
100	0.2635035244
101	0.2634696919
102	0.2634316947
103	0.2633958963
104	0.2633673713
105	0.2633424183
106	0.263320298
107	0.2632980836
108	0.2632683948
109	0.2632410297
110	0.2632046076
111	0.2631752233
112	0.263148098
113	0.2631200761
114	0.2630774638
115	0.2630509705
116	0.2630238455
117	0.2629934687
118	0.2629765389
119	0.2629444937
120	0.2629178949
121	0.262877934
122	0.2628526344
123	0.2628271024
124	0.2627980476
125	0.2627717753
126	0.2627394033
127	0.2627273349
128	0.2626947376
129	0.2626665282
130	0.2626491245
131	0.262618794
132	0.2625941725
133	0.2625689917
134	0.2625486216
135	0.2625231009
136	0.262497195
137	0.2624817062
138	0.262456223
139	0.2624375831
140	0.2624077007
141	0.2623814068
142	0.2623591458
143	0.2623408379
144	0.26232444
145	0.26230446
146	0.2622786817
147	0.2622534727
148	0.2622327148
149	0.2622193121
150	0.2621969765
151	0.2621790732
152	0.2621524006
153	0.2621293569
154	0.2620943266
155	0.2620718907
156	0.2620561449
157	0.2620381246
158	0.2620166054
159	0.2619953455
160	0.261976496
161	0.2619531608
162	0.2619208371
163	0.2618974098
164	0.2618664703
165	0.2618518868
166	0.2618282249
167	0.2618038086
168	0.2617795639
169	0.2617595101
170	0.261748362
171	0.2617279397
172	0.2617091036
173	0.2616901523
174	0.2616719543
175	0.2616527821
176	0.2616223556
177	0.2616013366
178	0.261577706
179	0.2615534819
180	0.2615350576
181	0.2615129193
182	0.2614960401
183	0.2614783363
184	0.2614569
185	0.2614256652
186	0.2614082596
187	0.2613914563
188	0.2613774903
