iter	Passed	Remaining
0	284	284365
1	352	176021
2	420	139739
3	495	123430
4	560	111443
5	632	104710
6	694	98469
7	755	93702
8	817	90008
9	886	87739
10	955	85947
11	1032	85007
12	1102	83732
13	1174	82689
14	1246	81829
15	1316	80942
16	1384	80062
17	1460	79664
18	1531	79091
19	1600	78430
20	1677	78187
21	1748	77724
22	1821	77383
23	1896	77126
24	1967	76746
25	2038	76359
26	2099	75655
27	2159	74958
28	2211	74033
29	2268	73355
30	2338	73081
31	2409	72876
32	2478	72638
33	2534	72002
34	2591	71446
35	2650	70982
36	2709	70507
37	2774	70239
38	2844	70088
39	2912	69896
40	2982	69770
41	3046	69487
42	3116	69366
43	3186	69226
44	3268	69363
45	3347	69426
46	3423	69426
47	3503	69477
48	3571	69324
49	3644	69247
50	3717	69166
51	3784	68990
52	3855	68890
53	3917	68630
54	3977	68337
55	4036	68041
56	4101	67857
57	4172	67760
58	4249	67769
59	4330	67843
60	4409	67872
61	4486	67872
62	4558	67805
63	4631	67733
64	4708	67723
65	4822	68244
66	4886	68050
67	4945	67781
68	5004	67525
69	5061	67242
70	5117	66958
71	5176	66723
72	5234	66466
73	5290	66203
74	5346	65938
75	5404	65712
76	5465	65520
77	5523	65295
78	5584	65110
79	5642	64886
80	5702	64700
81	5759	64475
82	5818	64279
83	5878	64101
84	5936	63901
85	5993	63703
86	6051	63503
87	6106	63283
88	6166	63118
89	6225	62946
90	6282	62756
91	6338	62563
92	6396	62379
93	6452	62188
94	6507	61991
95	6558	61762
96	6614	61577
97	6673	61424
98	6732	61269
99	6792	61134
100	6848	60958
101	6907	60815
102	6964	60647
103	7021	60494
104	7090	60434
105	7148	60289
106	7205	60135
107	7273	60074
108	7341	60009
109	7397	59855
110	7460	59754
111	7526	59672
112	7585	59546
113	7645	59422
114	7707	59317
115	7773	59236
116	7836	59144
117	7901	59062
118	7961	58940
119	8022	58830
120	8081	58705
121	8141	58591
122	8200	58467
123	8258	58344
124	8334	58340
125	8407	58315
126	8484	58321
127	8553	58269
128	8615	58174
129	8689	58150
130	8768	58168
131	8852	58211
132	8924	58180
133	8996	58140
134	9067	58099
135	9138	58055
136	9201	57964
137	9269	57900
138	9339	57852
139	9407	57787
140	9483	57776
141	9548	57693
142	9608	57586
143	9666	57461
144	9732	57386
145	9809	57379
146	9883	57351
147	9951	57285
148	10020	57230
149	10091	57183
150	10152	57081
151	10213	56979
152	10281	56918
153	10354	56882
154	10426	56843
155	10496	56789
156	10557	56686
157	10612	56555
158	10673	56453
159	10730	56334
160	10789	56226
161	10846	56105
162	10907	56010
163	10973	55937
164	11030	55822
165	11088	55711
166	11152	55628
167	11213	55534
168	11274	55436
169	11330	55320
170	11384	55189
171	11442	55085
172	11502	54983
173	11558	54870
174	11615	54760
175	11674	54658
176	11733	54557
177	11793	54460
178	11851	54357
179	11911	54261
180	11972	54175
181	12034	54090
182	12094	53996
183	12151	53889
184	12210	53792
185	12268	53692
186	12333	53619
187	12393	53528
188	12449	53419
